Index,TimeStamp,Site,ProductName,ProductUrl,ProductBrand,OriginalPrice,CurrentPrice,Discount%
1,06/07/2021 18:09:41,Myntra,Women Leggings,https://www.myntra.com/leggings/melange-by-lifestyle/melange-by-lifestyle-women-black-leggings/6711314/buy,Melange by Lifestyle,499,499,0
2,06/07/2021 18:09:41,Myntra,Women Solid Jeggings,https://www.myntra.com/jeggings/code-by-lifestyle/code-by-lifestyle-women-black-treggings/7744625/buy,CODE by Lifestyle,1299,1299,0
3,06/07/2021 18:09:41,Myntra,Colourblocked Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-black-colourblocked-satchel/14152846/buy,CODE by Lifestyle,2299,2299,0
4,06/07/2021 18:09:41,Myntra,Women Woven Design Slip-On Sneakers,https://www.myntra.com/casual-shoes/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-slip-on-sneakers/13577614/buy,Ginger by Lifestyle,2299,1402,39
5,06/07/2021 18:09:41,Myntra,Women Leggings,https://www.myntra.com/leggings/melange-by-lifestyle/melange-by-lifestyle-women-off-white-leggings/6711303/buy,Melange by Lifestyle,499,499,0
6,06/07/2021 18:09:41,Myntra,Women Woven Design Slip-On Sneakers,https://www.myntra.com/casual-shoes/ginger-by-lifestyle/ginger-by-lifestyle-women-burgundy-slip-on-sneakers/13577622/buy,Ginger by Lifestyle,1999,1399,30
7,06/07/2021 18:09:41,Myntra,Women Woven Design Slip-On Sneakers,https://www.myntra.com/casual-shoes/ginger-by-lifestyle/ginger-by-lifestyle-women-grey-slip-on-sneakers/13577624/buy,Ginger by Lifestyle,1999,1399,30
8,06/07/2021 18:09:41,Myntra,Regular Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-burgundy-regular-top/13846874/buy,CODE by Lifestyle,1299,909,30
9,06/07/2021 18:09:41,Myntra,Printed Top,https://www.myntra.com/tops/juniors-by-lifestyle/juniors-by-lifestyle-girls-grey-printed-top/11426580/buy,Juniors by Lifestyle,299,149,50
10,06/07/2021 18:09:41,Myntra,Women Textured Ballerinas,https://www.myntra.com/flats/ginger-by-lifestyle/ginger-by-lifestyle-women-black-textured-ballerinas/13381230/buy,Ginger by Lifestyle,1499,899,40
11,06/07/2021 18:09:41,Myntra,Women Textured Heels,https://www.myntra.com/heels/melange-by-lifestyle/melange-by-lifestyle-women-grey-textured-heels/13375484/buy,Melange by Lifestyle,1599,1199,25
12,06/07/2021 18:09:41,Myntra,Solid Handheld Bag,https://www.myntra.com/handbags/ginger-by-lifestyle/ginger-by-lifestyle-lavender-solid-handheld-bag/14031042/buy,Ginger by Lifestyle,2199,2199,0
13,06/07/2021 18:09:41,Myntra,Girls Printed Top,https://www.myntra.com/tops/juniors-by-lifestyle/juniors-by-lifestyle-girls-white-printed-top/13117104/buy,Juniors by Lifestyle,399,199,50
14,06/07/2021 18:09:41,Myntra,Women Woven Design Slip-On Sneakers,https://www.myntra.com/casual-shoes/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-slip-on-sneakers/13577644/buy,Ginger by Lifestyle,2299,1517,34
15,06/07/2021 18:09:41,Myntra,Women Pumps,https://www.myntra.com/heels/ginger-by-lifestyle/ginger-by-lifestyle-women-grey-solid-pumps/13752268/buy,Ginger by Lifestyle,1899,1899,0
16,06/07/2021 18:09:41,Myntra,Infant Boys Clothing Set,https://www.myntra.com/clothing-set/juniors-by-lifestyle/juniors-by-lifestyle-infant-boys-clothing-set/13406828/buy,Juniors by Lifestyle,1299,649,50
17,06/07/2021 18:09:41,Myntra,Textured Shoulder Bag,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-black-textured-shoulder-bag/14152842/buy,CODE by Lifestyle,2099,2099,0
18,06/07/2021 18:09:41,Myntra,Regular Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-maroon-regular-top/14163064/buy,CODE by Lifestyle,1499,1499,0
19,06/07/2021 18:09:41,Myntra,Solid Satchel Bag,https://www.myntra.com/handbags/ginger-by-lifestyle/ginger-by-lifestyle-yellow-solid-satchel-bag/14031046/buy,Ginger by Lifestyle,1699,1699,0
20,06/07/2021 18:09:41,Myntra,Textured Box Clutches,https://www.myntra.com/clutches/code-by-lifestyle/code-by-lifestyle-rose-gold-textured-clutch/14029836/buy,CODE by Lifestyle,1499,1499,0
21,06/07/2021 18:09:41,Myntra,Women Ballerinas,https://www.myntra.com/flats/ginger-by-lifestyle/ginger-by-lifestyle-women-black-solid-ballerinas/13665466/buy,Ginger by Lifestyle,1599,1007,37
22,06/07/2021 18:09:41,Myntra,Solid Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-pink-solid-satchel/14152824/buy,CODE by Lifestyle,2299,2299,0
23,06/07/2021 18:09:41,Myntra,Regular Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-mustard-regular-top/14163050/buy,CODE by Lifestyle,1499,1499,0
24,06/07/2021 18:09:41,Myntra,Solid Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-beige-solid-satchel/14152814/buy,CODE by Lifestyle,1699,1699,0
25,06/07/2021 18:09:41,Myntra,Solid Shoulder Bag,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-white-solid-shoulder-bag/13746332/buy,CODE by Lifestyle,2199,2199,0
26,06/07/2021 18:09:41,Myntra,Women Backpack,https://www.myntra.com/backpacks/ginger-by-lifestyle/ginger-by-lifestyle-women-brown-backpack/14154000/buy,Ginger by Lifestyle,2099,2099,0
27,06/07/2021 18:09:41,Myntra,Women Sandals,https://www.myntra.com/heels/ginger-by-lifestyle/ginger-by-lifestyle-women-green-embellished-sandals/13795068/buy,Ginger by Lifestyle,1299,1299,0
28,06/07/2021 18:09:41,Myntra,Women Solid Pumps,https://www.myntra.com/heels/ginger-by-lifestyle/ginger-by-lifestyle-women-beige-solid-pumps/13751584/buy,Ginger by Lifestyle,1699,1699,0
29,06/07/2021 18:09:41,Myntra,Women Solid Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-solid-top/12137996/buy,Ginger by Lifestyle,699,349,50
30,06/07/2021 18:09:41,Myntra,Women Mules,https://www.myntra.com/heels/code-by-lifestyle/code-by-lifestyle-women-tan-textured-mules/14123618/buy,CODE by Lifestyle,1499,1499,0
31,06/07/2021 18:09:41,Myntra,Printed Bardot Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-green-printed-bardot-top/13932564/buy,CODE by Lifestyle,1699,1699,0
32,06/07/2021 18:09:41,Myntra,Girls Printed Top,https://www.myntra.com/tops/juniors-by-lifestyle/juniors-by-lifestyle-girls-multicoloured-printed-top/13310050/buy,Juniors by Lifestyle,699,349,50
33,06/07/2021 18:09:41,Myntra,Women Solid Backpack,https://www.myntra.com/backpacks/ginger-by-lifestyle/ginger-by-lifestyle-women-black-solid-backpack/11559618/buy,Ginger by Lifestyle,1699,1699,0
34,06/07/2021 18:09:41,Myntra,Printed Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-black-printed-top/13586992/buy,Ginger by Lifestyle,999,999,0
35,06/07/2021 18:09:41,Myntra,Peplum Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-yellow-peplum-top/14163314/buy,Ginger by Lifestyle,999,999,0
36,06/07/2021 18:09:41,Myntra,Printed Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-black-printed-top/13309538/buy,Ginger by Lifestyle,1299,1299,0
37,06/07/2021 18:09:41,Myntra,Solid Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-mustard-solid-top/12031080/buy,Ginger by Lifestyle,699,349,50
38,06/07/2021 18:09:41,Myntra,Textured Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-black-textured-satchel/14152854/buy,CODE by Lifestyle,2299,2299,0
39,06/07/2021 18:09:41,Myntra,Colourblocked Handheld Bag,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-brown-colourblocked-handheld-bag/14029796/buy,CODE by Lifestyle,2299,2299,0
